Sl.No.,Brand,Product_Description,Price,Product_Link,Rating
1,HERE&NOW,Slim Fit Casual shirt,Rs. 699,https://www.myntra.com/shirts/herenow/herenow-men-black-slim-fit-casual-shirt/19818628/buy,4.3
2,HIGHLANDER,Slim Fit Casual shirt,Rs. 524,https://www.myntra.com/shirts/highlander/highlander-men-green--white-slim-fit-printed-casual-shirt/11780968/buy,4.3
3,Roadster,Printed Casual shirt,Rs. 598,https://www.myntra.com/shirts/roadster/roadster-men-blue-printed-casual-sustainable-shirt/1364628/buy,4.1
4,H&M,Men Relaxed Fit hoodie,Rs. 899,https://www.myntra.com/sweatshirts/hm/hm-men-relaxed-fit-hoodie/21211334/buy,4.5
5,Jompers,Men Floral Embroidered kurta,Rs. 1633,https://www.myntra.com/kurtas/jompers/jompers-men-black-floral-embroidered-sequined-cotton-kurta/20038544/buy,4.2
6,HIGHLANDER,Slim Fit Casual shirt,Rs. 769,https://www.myntra.com/shirts/highlander/highlander-men-blue-slim-fit-striped-casual-shirt/14063038/buy,4.3
7,HERE&NOW,Slim Fit Casual shirt,Rs. 797,https://www.myntra.com/shirts/herenow/herenow-men-white-slim-fit-printed-casual-shirt/19140996/buy,4.2
8,H&M,Men Black Regular jeans,Rs. 1799,https://www.myntra.com/jeans/hm/hm-men-black-regular-jeans/15193862/buy,4.3
9,Roadster,Printed Cotton Pure Cotton tshirt,Rs. 599,https://www.myntra.com/tshirts/roadster/roadster-men-white-printed-cotton-pure-cotton-t-shirt/2475811/buy,4.1
10,Roadster,Cotton Solid Casual shirt,Rs. 402,https://www.myntra.com/shirts/roadster/the-roadster-lifestyle-co-men-maroon-pure-cotton-solid-sustainable-casual-shirt/16892144/buy,4.4
11,U.S. Polo Assn.,Men Pure Cotton Striped shirt,Rs. 1559,https://www.myntra.com/shirts/us-polo-assn/u-s-polo-assn-men-yellow-and-white-striped-tailored-fit-pure-cotton-casual-shirt/19243714/buy,4.2
12,WROGN,Men Slim Fit jeans,Rs. 1039,https://www.myntra.com/jeans/wrogn/wrogn-men-grey-slim-fit-light-fade-stretchable-jeans/2338117/buy,4.8
13,Puma,Men Printed Football tshirt,Rs. 3299,https://www.myntra.com/tshirts/puma/puma-men-blue-printed-manchester-city-football-t-shirt/18982090/buy,4.1
14,HIGHLANDER,Men Slim Fit shirt,Rs. 699,https://www.myntra.com/shirts/highlander/highlander-men-white--blue-slim-fit-checked-casual-shirt/8469259/buy,4.2
15,FUBAR,Slim Fit Casual shirt,Rs. 699,https://www.myntra.com/shirts/fubar/fubar-slim-fit-spread-collar-casual-shirt/22988248/buy,2.2
16,Roadster,Cotton Casual shirt,Rs. 649,https://www.myntra.com/shirts/roadster/roadster-men-maroon--black-checked-pure-cotton-sustainable-casual-shirt/11326686/buy,4.4
17,WROGN,Checked Casual shirt,Rs. 1079,https://www.myntra.com/shirts/wrogn/wrogn-navy-blue-slim-fit-checked-casual-shirt/1729391/buy,4.2
18,HRX by Hrithik Roshan,Printed Pure Cotton tshirt,Rs. 419,https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-teal-blue-printed-pure-cotton-t-shirt/1700871/buy,4
19,Huetrap,Typography Print tshirt,Rs. 340,https://www.myntra.com/tshirts/huetrap/huetrap-men-beige--black-typography-printed-sustainable-t-shirt/11148764/buy,4.1
20,HERE&NOW,Men Regular Fit Sustainable Casual shirt,Rs. 999,https://www.myntra.com/shirts/herenow/herenow-men-white-regular-fit-solid-sustainable-casual-shirt/4425878/buy,4.3
21,RARE RABBIT,Men Round Neck sweatshirt,Rs. 2249,https://www.myntra.com/sweatshirts/rare-rabbit/rare-rabbit-men-pink-round-neck-solid-sweatshirt/19441864/buy,4.9
22,Levis,Men 512 Slim Low-Rise jeans,Rs. 2271,https://www.myntra.com/jeans/levis/levis-men-512-slim-tapered-fit-low-rise-heavy-fade-stretchable-jeans/20516520/buy,4.1
23,Dennis Lingo,Men Slim Fit Casual shirt,Rs. 569,https://www.myntra.com/shirts/dennis-lingo/dennis-lingo-men-pink-slim-fit-casual-shirt/7488102/buy,4.1
24,Roadster,Men Pure Cotton Casual shirt,Rs. 584,https://www.myntra.com/shirts/roadster/roadster-men-black--grey-checked-pure-cotton-casual-shirt/1376577/buy,4.3
25,Roadster,Printed Round Neck Pure Cotton tshirt,Rs. 599,https://www.myntra.com/tshirts/roadster/roadster-men-green--white-printed-round-neck-pure-cotton-t-shirt/11545192/buy,4.2
26,Campus Sutra,Ombre Henley Neck tshirt,Rs. 599,https://www.myntra.com/tshirts/campus-sutra/campus-sutra-green-ombre-henley-neck-casual-t-shirt/22735530/buy,4.5
27,Louis Philippe Sport,Knitted Polo Collar tshirt,Rs. 1049,https://www.myntra.com/tshirts/louis-philippe-sport/louis-philippe-sport-solid-knitted-polo-collar-t-shirt/21474618/buy,2.6
28,FUBAR,Spread Collar Slim Fit shirt,Rs. 699,https://www.myntra.com/shirts/fubar/fubar-spread-collar-slim-fit-casual-shirt/22988256/buy,3.6
29,HIGHLANDER,Men Tapered Fit jeans,Rs. 714,https://www.myntra.com/jeans/highlander/highlander-men-blue-tapered-fit-mid-rise-clean-look-stretchable-jeans/8706059/buy,3.9
30,HERE&NOW,Slim Fit Floral Casual shirt,Rs. 799,https://www.myntra.com/shirts/herenow/herenow-men-black-slim-fit-floral-printed-casual-shirt/18060960/buy,4.3
31,Urbano Fashion,Slim Tropical Printed Pure Cotton tshirt,Rs. 461,https://www.myntra.com/tshirts/urbano-fashion/urbano-fashion-men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt/12377258/buy,4
32,Roadster,Men Skinny Fit jeans,Rs. 1499,https://www.myntra.com/jeans/roadster/roadster-men-blue-skinny-fit-mid-rise-mildly-distressed-stretchable-jeans/5669588/buy,3.9
33,Dennis Lingo,Men Slim Fit Casual shirt,Rs. 569,https://www.myntra.com/shirts/dennis-lingo/dennis-lingo-men-black-slim-fit-casual-shirt/6714923/buy,4.2
34,Roadster,Cotton Casual shirt,Rs. 503,https://www.myntra.com/shirts/roadster/roadster-men-teal-blue-cotton-sustainable-casual-shirt/11903988/buy,4
35,Roadster,Time Travlr Sleveless Pure Cotton tshirt,Rs. 149,https://www.myntra.com/tshirts/roadster/roadster-time-travlr-men-olive-green-sleveless-pure-cotton-t-shirt-with-raw-edges/2498517/buy,4
36,United Colors of Benetton,Men Low-Rise Faded jeans,Rs. 2249,https://www.myntra.com/jeans/united-colors-of-benetton/united-colors-of-benetton-men-faded-low-rise-regular-fit-jeans/20258298/buy,4.4
37,H&M,Men Black Slim jeans,Rs. 1799,https://www.myntra.com/jeans/hm/hm-men-black-slim-jeans/16519026/buy,4.2
38,Levis,Men Pure Cotton Casual shirt,Rs. 2024,https://www.myntra.com/shirts/levis/levis-men-slim-fit-checked-pure-cotton-casual-shirt/20516368/buy,4.3
39,Peter England Casuals,Pure Cotton Casual shirt,Rs. 1601,https://www.myntra.com/shirts/peter-england-casuals/peter-england-casuals-slim-fit-striped-pure-cotton-casual-shirt/22733276/buy,4.1
40,HERE&NOW,Colourblocked Cotton Pure Cotton tshirt,Rs. 599,https://www.myntra.com/tshirts/herenow/herenow-men-black--green-colourblocked-cotton-pure-cotton-t-shirt/11748138/buy,4.1
41,HIGHLANDER,Men Tapered Fit jeans,Rs. 714,https://www.myntra.com/jeans/highlander/highlander-men-grey-tapered-fit-mid-rise-clean-look-stretchable-jeans/9162835/buy,4.1
42,Roadster,Men Solid Carrot Fit jeans,Rs. 1169,https://www.myntra.com/jeans/roadster/roadster-men-black-solid-carrot-fit--jeans/14805882/buy,4
43,WROGN,Men Slim Fit jeans,Rs. 1299,https://www.myntra.com/jeans/wrogn/wrogn-men-black-slim-fit-mid-rise-jeans/1320929/buy,3.8
